,,,,
,CLAVES - EVALUACIÓN DEL RIESGO INHERENTE,,,
,,,,
,1. PROBABILIDAD,,,
,,,,
,Valoración cuantitativa de la probabilidad,Valoración cualitativa de la probabilidad,Descripción,
,5,EXTREMA PROBABILIDAD,Entre un 80-100% de probabilidad de ocurrencia en atención a la frecuencia con que se realiza la actividad y/o la oportunidad que podrían tener los miembros de la Compañía para realizarlos. No se observan controles adecuados que prevengan la comisión de estos hechos. La comisión de estos hechos está ocurriendo actualmente y/o ha ocurrido en el pasado en más de una ocasión siendo posible que se repita nuevamente en el futuro,
,4,ALTA PROBABILIDAD,"Entre un 60-80% de probabilidad de ocurrencia en atención a la frecuencia con que se realiza la actividad y/o la oportunidad que podrían tener los miembros de la Compañía para realizarlos. En general, no existen controles adecuados y/o los que controles que existen son deficientes para prevenir la comisión de los hechos. Han ocurrido hechos similares en el pasado, siendo posible que se repitan en el futuro",
,3,MODERADA PROBABILIDAD,"Entre un 40-60% de probabilidad de ocurrencia en atención a la frecuencia con que se realiza la actividad y/o la oportunidad que podrían tener los miembros de la Compañía para realizarlos. En general, los controles que previenen su comisión son deficientes. Han ocurrido hechos similares en el pasado y/o podría darse la ocurrencia en el futuro de no cambiar las condiciones",
,2,BAJA PROBABILIDAD,"Entre un 20-40% de probabilidad de ocurrencia en atención a la frecuencia con que se realiza la actividad y/o la oportunidad que podrían tener los miembros de la Compañía para realizarlos. En general, existen controles adecuados que previenen su comisión y/o pueden existir situaciones similares que hayan ocurrido en el pasado",
,1,MUY BAJA O NULA PROBABILIDAD,"Entre un 0 y un 20% de probabilidad de ocurrencia en atención a la frecuencia con que se realiza la actividad y/o la oportunidad que podrían tener los miembros de la Compañía para realizarlos. En general, existen controles óptimos que previenen su comisión y/o no hay historial de hechos similares en el pasado",
,,,,
,2. IMPACTO,,,
,,,,
,Valoración cuantitativa del impacto,Valoración cualitativa del impacto,Descripción,
,5,CATASTRÓFICO,"Comisión de un delito y/o causar un impacto reputacional catastrófico en la imagen de la Compañía. Asimismo, puede ser sancionado con medidas que podrían afectar sustancialmente al negocio de sus miembros.",
,4,IMPORTANTE,"Podría ser interpretado como la comisión de un delito, y/o causar un impacto reputacional importante en la imagen de la Compañía.",
,3,MODERADO,Infracción normativa distinta a delito de carácter relevante o infracción de regla que puede ser interpretada como falta de compromiso con el MPD o con los lineamientos éticos de la Compañía.,
,2,ESCASO,Infracción normativa menos importante que no implican impacto financiero ni reputacional.,
,1,NULO / MUY BAJO,Mera afectación de reglas sin valor legal que no implican impacto financiero ni reputacional.,
,,,,
,3. CÁLCULO DEL RIESGO INHERENTE (PROBABILIDAD x IMPACTO),,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,4. EVALUACIÓN DEL RIESGO,,,
,,,,
,Escala,Riesgo Inherente,Descripción,
,1 - 3,ACEPTABLE,No existen riesgos para la Compañía. Deben emplearse las medidas de control que se han establecido con regularidad para monitorear la aplicación efectiva del control y detectar tempranamente cualquier desviación (estadio de riesgo aceptable).,
,4 - 7,TOLERABLE,No existen riesgos para la Compañía. Deben emplearse las medidas de control que se han establecido con regularidad para monitorear la aplicación efectiva del control y detectar tempranamente cualquier desviación (estadio de riesgo aceptable).,
,8 - 15,MODERADO,"Existen riesgos moderados para la Compañía. Deben emplearse en forma inmediata las medidas de control que se han establecido para identificar actividades desviadas y adoptar medidas de remediación y correctivas necesarias (estadio de riesgo moderado). De perseverar la situación de riesgo sin emplear medidas de mitigación, existen probabilidades de que este incremente.",
,16 - 20,IMPORTANTE,"Existen riesgos importantes para la Compañía. Deben emplearse, a la brevedad posible, nuevas medidas de control y/o medidas de reforzamiento, para corregir y remediar las actividades desviadas (estadio de riesgo importante). De perseverar en la situación de riesgo sin emplear medidas de mitigación, existen altas probabilidades de que éste incremente.",
,21 - 25,INACEPTABLE,"Existe un riesgo crítico para la Compañía, que resulta inaceptable. Deben emplearse medidas inmediatas para mitigar el riesgo y evitar la comisión de un hecho infraccional o delictivo, el que resulta extremamente probable (estado de riesgo inaceptable). De perseverar la situación de riesgo sin emplear medidas de mitigación, existen probabilidades críticas de que se cometa una infracción de impacto catastrófico.",
,,,,
,Frecuencia,,,Probabilidad asociada
,Diario: La actividad ocurre todos los días o casi todos los días.,,,5
,Semanal: La actividad ocurre todas las semanas o casi todas las semanas.,,,4
,Mensual: La actividad ocurre todos los meses o casi todos los meses.,,,3
,"Semestral: La actividad ocurre, por lo menos, una vez durante el semestre.",,,2
,"Anual: La actividad ocurre, por lo menos, una vez al año.",,,2
,"Ocasional: La actividad ocurre cada cierto tiempo, pero no tiene una frecuencia identificable.",,,1
,"Inusual: La actividad no ha ocurrido nunca, pero no se descarta.",,,1
