,,,,,,,,,,,,,
,,,,,,Fecha de Elaboración,,Versión,,,,,
,,,,,,feb-26,,V1,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Actividad de Riesgo,,,,Evaluación del Riesgo Inherente,,,,Ambiente de Control,,,,
,Ámbito de Riesgo General,Descripción de la Actividad,Descripción de la Situación de Riesgo,Contingencias Asociadas,Frecuencia,Probabilidad,Impacto,Clasificación del Riesgo (Probabilidad x Impacto),Controles Existentes,Política y/o Procedimiento,Áreas Expuestas,Responsables de la actividad de riesgo,
,Relación con Funcionarios Públicos o Autoridades,Relación habitual con autoridades públicas en procesos de fiscalización.,"Trabajadores de la Compañía realizan gestiones ante autoridades  gubernamentales en nombre de la compañía, o cometen ilegalidades o actos contrarios a la probidad ante un proceso de fiscalización.","• Cohecho a funcionario público (Art. 250 y 251 CP).
• Cohecho a funcionario público en causa criminal (Art. 250 bis CP).
• Falsificación y uso de instrumento público (Art. 194 y 196 CP).
• Falsificación y uso de instrumento privado o instrumento privado mercantil falso (Art. 197 y 198 CP).
• Fraude por sustracción, ocultación, destrucción o inutilización de documento (Art. 470 N°5 CP).
• Ocultar información, proporcionar información falsa a la FNE (Art. 39 h) DL No. 211).
• Acompañar documentos falsos ante el Banco Central, maliciosamente (Art. 59 Ley N°18.840). 

 ",Anual,1,4,4,SI,• Código de Ética / • Protocolo de interacción con funcionarios públicos,"Gerencia General, Legal, Ventas / Comercial",Legal,Con respecto a tus comentarios. Mantenemos la frecuencia en anual por que existen tramites anuales ante instituciones públicas como las declaraciones SII etc. En relación a la creación de estos documentos efectivamente corresponden a Lux su redacción en la siguiente etapa.
,Relación con Funcionarios Públicos o Autoridades,Relación habitual con autoridades públicas.,"La Compañía y sus proveedores de servicios de seguridad incurren en actos contrarios a la ética y/o la ley, en el contexto de su relación habitual con Carabineros de Chile y/o PDI (e.g., la definición de una Directiva de Funcionamiento, investigaciones penales, etc.).","• Cohecho a funcionario público (Art. 250 y 251 CP).
• Cohecho a funcionario público en causa criminal (Art. 250 bis CP).
• Falsificación y uso de instrumento público (Art. 194 y 196 CP).
• Falsificación y uso de instrumento privado o instrumento privado mercantil falso (Art. 197 y 198 CP).",Ocasional,1,4,4,SI,• Código de Ética / • Protocolo de interacción con funcionarios públicos,"Gerencia General, Legal, Ventas / Comercial",Legal,
,Relación con Funcionarios Públicos o Autoridades,Relación habitual con autoridades públicas para obtención de permisos y autorizaciones.,"Proveedores de la Compañía u otros terceros realizan gestiones ante funcionarios públicos, en el contexto de obtención de permisos, autorizaciones, patentes u otros, cometiendo actos contrarios a la Ley y/o la ética.","• Cohecho a funcionario público (Art. 250 y 251 CP).
• Cohecho a funcionario público en causa criminal (Art. 250 bis CP).
• Falsificación y uso de instrumento público (Art. 194 y 196 CP).
• Falsificación y uso de instrumento privado o instrumento privado mercantil falso (Art. 197 y 198 CP).
",Ocasional,1,4,4,SI,• Código de Ética / • Protocolo de interacción con funcionarios públicos,"Gerencia General, Legal, Ventas / Comercial",Legal,
,Relación con Funcionarios Públicos o Autoridades,Importación de bienes.,"La Compañía entrega beneficios o ventajas indebidas a Funcionarios Públicos extranjeros, para facilitar la adquisición de bienes en el extranjero y su posterior transporte a Chile.","• Cohecho a funcionario público extranjero (Art. 251 bis CP).
• Contrabando (Art. 168 y 182 DL No. 30).
• Recepción indebida de devolución de gravámenes aduaneros (Art. 134 DL No. 30). ",Semestral,2,3,6,SI,• Código de Ética / • Protocolo de interacción con funcionarios públicos,"Gerencia General, Legal, Ventas / Comercial",Legal,
,Administración,Presentación de información a la Gerencia,"Reportar información falsa o incompleta a los integrantes de la Administración generándose como consecuencia de ello la aprobación y entrega de información falsa a la autoridad (e.g., informes elaborados por asesores legales, información contable o financiera).",• Falsedad de balances (Art. 100 CT).,Mensual,1,3,3,no,• Política de gestion de riesgos ,"Gerencia General, Legal, Ventas / Comercial",Legal / Finanzas,
,Administración,Toma de decisiones por Administración,"Adoptar decisiones por la Gerencia sin que se deje registro en actas, o dejando constancia en actas de observaciones distintas de las que se adoptaron.","• Administración desleal (Art. 470 No. 11 CP).
",Semestral,1,3,3,no,• Política de gestion de riesgos ,"Finanzas, Gerencia General, Legal",Gerencia General,
,Administración,Informar conflictos de interés.,"Gerencias participan en otros directorios de empresas con giros afines, sin revelar o transparentar tal situación.","• Administración desleal (Art. 470 No. 11 CP).
• Revelación de secreto comercial (Art. 284 bis CP).
• Aprovechamiento económico de secreto comercial (Art. 284 ter CP).
• Colusión (Art. 62 DL 211).
",Ocasional,1,3,3,no,• Política de Conflictos de Interés. ,"Finanzas, Gerencia General / Comercial ",Finanzas / Comercial ,
,Administración,Operaciones con partes relacionadas.,Celebrar operaciones con partes relacionadas sin dar cumplimiento a los procedimientos establecidos para ello; o mediando conflictos de interés no revelados.,"• Administración desleal (Art. 470 No. 11 CP).
• Corrupción entre particulares (Art. 287 bis y ter CP).
• Negociación incompatible (Art. 240 No. 1 CP). ",Ocasional,1,4,4,no,• Política de Conflictos de Interés. ,"Finanzas, Gerencia General",Gerencia General,
